Y_index	Ycoord	X_index	 Xcoord	Rev_Xcoord
1	Y-17.000	1	X21.000	X184.305
2	Y-27.117	2	X29.595	X175.710
3	Y-37.234	3	X38.190	X167.115
4	Y-47.351	4	X46.785	X158.520
5	Y-57.468	5	X55.380	X149.925
6	Y-67.585	6	X63.975	X141.330
7	Y-77.702	7	X72.570	X132.735
8	Y-87.819	8	X81.165	X124.140
9	Y-97.936	9	X89.760	X115.545
10	Y-108.053	10	X98.355	X106.950
11	Y-118.170	11	X106.950	X98.355
12	Y-128.287	12	X115.545	X89.760
13	Y-138.404	13	X124.140	X81.165
14	Y-148.521	14	X132.735	X72.570
15	Y-158.638	15	X141.330	X63.975
16	Y-168.755	16	X149.925	X55.380
17	Y-178.872	17	X158.520	X46.785
18	Y-188.989	18	X167.115	X38.190
19	Y-199.106	19	X175.710	X29.595
20	Y-209.223	20	X184.305	X21.000
21	Y-219.340	0	0	0
22	Y-229.457	0	0	0
23	Y-239.574	0	0	0
24	Y-249.691	0	0	0
25	Y-259.808	0	0	0

